ID,Mass,RT,Col-root-NL-0V,Col-root-NL-5V,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V
3982,190.103,10.53,55734.27762,82830.09528,111232.9009,87307.77839,34456.20045,10581.48275,794.118972,2948.98506,1,138.7665919
3983,639.5799,16,141374.6594,139940.9591,160523.8993,145969.4375,90286.07352,68826.5248,32530.6116,16504.65726,2253.253666,955.9168835
3984,942.21,5.23,67227.1921,51870.47051,41778.29291,54878.90113,79831.79056,15598.61124,1,1,1,1
3985,612.4026,13.18,76981.25198,87960.81579,120036.4657,136879.2809,105273.0756,73638.20319,49656.81384,29953.32817,12699.63757,2606.956803
3986,116.0261,6.79,1,1,6370.447758,23642.7188,34176.10434,21026.53579,36145.28774,58387.03112,96291.40291,157428.4926
3987,439.2205,2.78,120091.9328,132581.4685,116533.5377,67190.51029,71123.61037,14260.05898,1424.387724,1375.849779,1,1
3988,223.9893,0.88,70485.11346,89025.54467,106803.19,131961.797,163120.5916,221891.1536,231630.4987,250634.8269,274263.12,291006.1853
3989,556.215,5.89,63895.31721,1,1,1,1,1,1,1,1372.733515,1
3990,301.0804,1.24,62678.20353,29909.08333,20668.73477,17610.60083,11639.83244,9109.941302,4387.767809,3033.898186,3198.911497,1033.988354
3991,139.9787,5.07,13032.67532,1,17715.99548,36382.23122,24291.34746,28236.60602,49507.50664,81980.59901,106819.1412,118829.1817
3992,938.5892,17.56,105488.1208,97363.01275,113585.9091,119489.5347,123936.4945,114431.561,111147.6829,114527.9159,116109.6613,103099.7316
3993,480.3231,16.1,82104.37742,78953.46739,144297.1905,102183.5409,75736.29558,69425.86401,49234.42004,37306.35779,17754.65404,20196.50695
3994,691.4883,16.32,43866.97965,66314.23027,73365.81228,34282.8263,23678.04427,16486.893,73072.82318,148801.4774,234566.3723,253449.5995
3995,274.1034,1.46,77247.88137,76466.42875,54647.54337,48376.82294,16408.55994,9267.491334,3813.341073,10354.77649,1,1932.269897
3996,162.9764,2.11,1,1,1,1,17370.7726,1,553.9641526,1,668.6136808,1
3997,226.1721,16.12,1,15896.3809,37554.50075,57030.19229,71593.81441,82848.02948,63108.56133,89813.62393,82946.01363,63062.9652
