ID,Mass,RT,Col-root-NL-0V-3,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-20V-2,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V,Col-root-NL-5V
4460,313.8432,21.42,17963.61755,7674.265546,10811.29446,9505.619562,15782.82255,13350.20792,19183.73509,22624.20204,22677.58973,26436.63157,3694.629763
4461,430.1833,4.74,26463.74183,64094.32251,28802.97556,13124.20875,7469.044326,5046.174622,1,1,1,1,62659.40906
4462,194.0836,5.34,25504.20481,18668.54146,1,73964.49678,119352.1783,265692.4772,435474.6011,568506.7922,528546.2479,511211.7789,36772.08344
4463,681.2495,12.32,245979.155,175361.2262,77408.06674,60131.34635,93481.75087,89238.36169,87093.87506,73077.91687,59490.73319,68163.90497,9219.13802
4464,294.1651,16.36,1,720.7556259,30627.01545,62919.67077,67145.98103,68198.28596,44661.46307,40127.61229,45067.30481,42819.36892,1
4465,959.2303,6.37,85806.80916,10250.73773,3379.903322,6140.184977,2124.394049,8363.483274,5598.71433,3448.627605,1923.401128,3206.790715,55489.98221
4466,543.1418,5,108612.6451,53443.90365,25798.94277,14604.14491,13163.98908,6541.803623,5007.845055,1642.211314,1,1,79286.39934
4467,536.137,5.11,73888.05616,65592.23238,68469.31284,44679.99958,41298.80993,29426.45994,28398.86269,29357.30002,32408.6983,31539.98987,85879.03607
4468,490.1126,3.87,3417.390372,23607.70566,27176.07862,60492.46119,52511.90672,21112.17159,79423.60036,84904.60231,41608.29773,43882.72018,13539.33708
4469,798.2346,6.12,63498.53718,34412.91095,37058.59344,17025.18443,21458.53713,1,12609.83373,7741.752516,1,2317.760453,43979.93638
4470,532.1577,5.1,64997.58474,22346.88058,2159.319954,1,3041.458163,896.1522774,489.335883,1,3278.879944,1,33313.78453
4471,551.3225,11.98,19191.5106,22132.87121,31570.80018,2724.518007,1,1,1,1,1,1,58828.91726
4472,483.0825,10.52,13625.1737,1,1,342.9870666,1,1,1,1,1,1,4857.430531
4473,276.2096,11.58,1,1,1,1,1,15654.66827,42485.83099,55420.27537,60639.25397,45680.17721,1
4474,1024.1743,3.11,71216.87715,40518.18311,37102.68277,18616.24104,24439.19808,14144.08496,13265.0403,6083.209294,6649.243699,3352.97609,60055.77879
4475,722.1912,7.68,104613.9491,571.3131957,5730.399464,3869.334961,4694.718874,5925.665218,11291.87257,5598.469597,1871.636287,1130.580504,24349.07787
4476,386.057,3.53,40394.66665,21596.36283,19679.49061,20253.59918,19647.8221,19479.11871,18473.31345,14087.30138,5292.128098,3493.906137,47857.72354
4477,498.231,6.58,49318.35015,4180.986652,689.5922093,1,1,1,1,1,1,436.1046125,23332.93401
4478,256.0957,3.75,20249.9254,57889.9425,68304.58146,62284.22556,57816.69763,51595.91764,34859.08506,31132.28643,17490.58449,7236.033933,41038.23269
4479,386.0673,4.12,58212.67533,46995.00356,38999.85727,26394.24997,19595.22956,15345.03224,18532.25812,14966.98216,7385.853595,14842.19716,80652.068
4480,457.0444,2.62,41151.48104,61142.70332,39683.44602,16821.37746,24848.61761,9924.997824,6296.720163,245.4889936,1371.720201,1,64998.23315
4481,257.0577,4.06,41585.12046,77535.29285,84241.46937,73012.35605,79416.89654,70235.68977,64800.86769,55045.60865,39313.14081,37593.71624,67939.41261
4482,408.2704,13,52511.38318,48264.91442,36591.54105,31668.75594,30654.76597,30073.46829,21909.55029,15625.2123,6104.740118,2311.071794,62534.99694
4483,258.08,5.1,1,1,1,1,2563.178299,18255.91115,33669.4786,48734.25553,60092.75006,50713.65834,1
4484,156.9594,14.07,1,1536.061928,16781.24658,49528.61278,47946.1646,69454.7377,53623.9275,36473.5349,20304.11567,15456.3945,1
4485,666.2016,2.82,91580.82533,18328.85367,4636.389961,3749.202716,9495.046061,5968.520353,1732.596031,7344.680059,5681.064798,3891.887448,24810.83493
4486,187.0635,7.68,25724.43861,71743.67048,50631.37205,46653.01936,50837.38441,48202.01638,27735.17908,21730.45015,18070.38766,18192.56788,56098.33168
4487,172.0637,8.17,1,1,5229.940203,41490.68237,42821.70218,53973.74005,42364.08955,28763.06952,17086.0286,11884.10956,1
4488,218.0505,1.26,24100.29878,14880.15852,16739.33093,11932.78463,12984.90478,11081.86822,6462.482661,6238.814189,1,9662.65491,28609.38291
4489,271.8383,1.09,6020.903947,12014.90801,33769.91645,37343.84343,32857.5926,50277.43044,33699.61861,73314.37157,32171.74744,58351.63437,23713.13837
4490,492.2481,14.24,285045.8652,297790.1109,90386.3989,54590.7555,85276.93003,57684.98151,43303.9336,61909.54438,29513.62854,23021.52385,139632.6086
4491,554.1857,11.77,83674.28603,26516.89719,18770.74678,12013.07071,15220.91447,3481.701947,2242.948021,2846.229286,914.8474212,1959.404331,62510.11789
4492,187.0614,1.85,636.4217577,15811.21229,58776.37058,74006.8778,71800.70361,43673.86473,63709.5333,51855.94577,62465.7075,81188.83151,1651.037335
4493,1049.5238,12.28,48293.41755,43472.1081,44659.12167,55806.42215,43177.29768,47300.45448,42841.88489,37718.77929,39142.27598,34512.6543,50069.7914
4494,326.1216,1.24,51551.02066,60932.04179,54398.55962,29193.63021,33065.89777,26416.75877,25286.56409,25002.93327,22469.88902,18704.99849,57792.66517
4495,263.0053,1.44,55492.0695,60930.27681,43118.44814,27283.28529,31225.26487,13112.49738,10582.35997,3012.013974,5585.401632,1897.809354,74310.21921
4496,688.1592,3.86,142775.8648,29953.12742,1,1017.664701,1,1,1,1,1,1,105782.6938
4497,601.8703,0.8,89683.84474,44366.10839,37825.0401,16072.15273,28884.30468,22455.7668,18528.36176,13119.49849,4966.218271,4614.729751,68608.29117
4498,698.1846,5.88,60581.14882,73150.7279,68450.86241,82400.5956,69303.78447,52337.1157,32200.46475,18457.51996,18931.65796,9226.929866,73657.09139
4499,766.2292,3.8,81696.0283,21221.80463,1096.448162,1,1,1,1,1,1,1,64961.15262
4500,655.0428,4.14,75808.55716,56910.93125,28029.51255,14252.96875,17995.70233,6707.201213,1,1260.688684,1,1,72734.41588
4501,1003.612,13.19,81594.52193,89711.37118,86088.5386,78819.63706,72729.22906,60878.77658,39793.49945,25210.46113,14137.41035,5600.721499,81540.5005
4502,338.085,0.95,12469.32263,29180.84539,43107.02686,32160.95464,40249.4124,31632.18548,28741.28045,42561.10843,50918.7728,63431.29121,27117.36878
4503,603.2131,11.53,58918.54228,33241.74214,41463.3915,26766.60158,49261.70537,37721.80936,15448.75811,26940.97436,13393.25254,10275.93157,40187.76512
4504,652.1591,5.71,18061.29986,71287.05286,91165.54592,57141.34933,59753.6023,31335.27377,20458.8541,10903.1827,5714.763855,1958.98562,44923.80322
4505,635.3391,13.5,107207.1518,3942.544809,1,1,1,1,1,1,1,1,48683.55239
