ID,Mass,RT,72e123-1,72e123-2,72e123-3,72e123-4,72e123-5,Col-1,Col-2,Col-3,Col-4,Col-5
4791,427.1475,6.26,30412.71226,38421.08127,36825.27066,27446.25348,37179.26314,49437.87236,43725.38887,55851.11692,42644.17455,56265.66326
4792,398.1757,16.48,43834.96107,30339.50721,25766.1585,24416.55897,34504.44366,76484.44999,70951.15811,46833.70569,44951.35316,38980.15537
4793,136.9788,3.1,1,1,1,1,1,1,1,1,1,1
4794,676.1883,7.68,21831.33938,43336.6922,28329.79961,15064.08411,22099.06456,17577.94137,14702.95883,54722.59966,48318.11281,42922.6146
4795,657.0568,6.38,56962.55036,1,43109.6829,4114.86955,17630.00346,61525.82927,58866.05348,32915.66636,54583.13632,50965.34935
4796,934.2733,4.87,58928.31361,55160.43681,79891.72598,46612.67916,59786.21194,89654.26491,64078.3875,73215.80998,88042.14135,48385.40233
4797,156.1154,11.94,1,1,1,1,1,1,1,1,1,1
4798,1064.6008,5.57,65932.96058,60950.20096,47427.49495,73451.81054,66527.53167,69212.53058,51484.22539,63224.10617,53583.34816,75386.51757
4799,166.0921,6.8,1,1,1,1,1,1,1,1,1,1
4800,465.1274,3.28,32367.48337,31823.13686,28899.55628,35866.47284,25504.17343,55297.03424,50069.64134,73541.28749,51466.81528,52875.9497
4801,216.9094,6.35,1,1,1,1,1,1,1,1,1,1
4802,652.1636,21.29,65964.4985,80544.52992,91813.6123,76618.32118,83931.87222,85359.12297,76115.51599,89691.84645,93252.81581,83120.92705
4803,356.1813,9.11,14636.69907,17210.89459,15602.84356,13587.87736,8662.696343,18828.54642,12345.9123,17964.68331,24324.67732,9858.48591
4804,840.1657,3.89,15255.48763,25701.83193,19278.37777,25291.54707,24120.56401,1,27329.31689,19654.31464,22420.564,18823.84209
4805,632.1356,3.89,1,31353.52102,1,1,1,19570.70587,1,30775.5995,1,1
4806,463.1639,9.44,66046.85561,51838.71595,49560.55328,48872.94933,38575.77552,42663.0548,61626.70651,50892.32684,52128.43691,58751.3037
4807,304.0821,7.68,43150.41435,50477.46443,46503.94598,47443.73594,40418.07174,50903.47852,41205.09395,66274.27517,59692.61063,49086.47796
4808,195.9481,3.04,1,1,1606.347661,1,1,651.2642908,256.86887,1,1,1009.486563
